file	size	character (count)	character (ratio)	temperament (count)	temperament (ratio)	disposition (count)	disposition (ratio)	personality (count)	personality (ratio)	clarity (count)	clarity (ratio)	certainty (count)	certainty (ratio)	lucidity (count)	lucidity (ratio)	precision (count)	precision (ratio)	cooperation (count)	cooperation (ratio)	collaboration (count)	collaboration (ratio)	teamwork (count)	teamwork (ratio)	partnership (count)	partnership (ratio)	creativity (count)	creativity (ratio)	imagination (count)	imagination (ratio)	ingenuity (count)	ingenuity (ratio)	inventiveness (count)	inventiveness (ratio)	discernment (count)	discernment (ratio)	judgement (count)	judgement (ratio)	acumen (count)	acumen (ratio)	understand (count)	understand (ratio)	empathy (count)	empathy (ratio)	sympathy (count)	sympathy (ratio)	compassion (count)	compassion (ratio)	rapport (count)	rapport (ratio)	humility (count)	humility (ratio)	humble (count)	humble (ratio)	modesty (count)	modesty (ratio)	innovation (count)	innovation (ratio)	advance (count)	advance (ratio)	improve (count)	improve (ratio)	inquiry (count)	inquiry (ratio)	question (count)	question (ratio)	query (count)	query (ratio)	integrity (count)	integrity (ratio)	honesty (count)	honesty (ratio)	truth (count)	truth (ratio)	veracity (count)	veracity (ratio)	reliability (count)	reliability (ratio)	open-mindedness (count)	open-mindedness (ratio)	tolerant (count)	tolerant (ratio)	impartial (count)	impartial (ratio)	purposefulness (count)	purposefulness (ratio)	thoughtful (count)	thoughtful (ratio)	consideration (count)	consideration (ratio)	care (count)	care (ratio)	respect (count)	respect (ratio)	esteem (count)	esteem (ratio)	regard (count)	regard (ratio)	recognition (count)	recognition (ratio)	reverence (count)	reverence (ratio)	veneration (count)	veneration (ratio)	worship (count)	worship (ratio)	service (count)	service (ratio)	assist (count)	assist (ratio)	help (count)	help (ratio)	duty (count)	duty (ratio)	wonder (count)	wonder (ratio)	marvel (count)	marvel (ratio)	awe (count)	awe (ratio)	total (count)	total (ratio)
aristotle-categories	   14478	17	0.1174	1	0.0069	16	0.1105	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	2	0.0138	2	0.0138	0	0.0000	4	0.0276	0	0.0000	2	0.0138	0	0.0000	4	0.0276	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0069	0	0.0000	4	0.0276	0	0.0000	17	0.1174	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0069	0	0.0000	0	0.0000	0	0.0000	71	0.4904
aristotle-constitution	   24711	8	0.0324	0	0.0000	3	0.0121	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0040	0	0.0000	0	0.0000	1	0.0040	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	6	0.0243	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	4	0.0162	0	0.0000	1	0.0040	10	0.0405	0	0.0000	0	0.0000	0	0.0000	1	0.0040	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	2	0.0081	3	0.0121	15	0.0607	0	0.0000	3	0.0121	0	0.0000	0	0.0000	0	0.0000	1	0.0040	16	0.0647	7	0.0283	8	0.0324	18	0.0728	0	0.0000	0	0.0000	1	0.0040	109	0.4411
aristotle-dreams	    4070	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0246	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	2	0.0491	0	0.0000	1	0.0246	2	0.0491	0	0.0000	1	0.0246	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0246	1	0.0246	1	0.0246	0	0.0000	2	0.0491	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	12	0.2948
aristotle-ethics	  113257	203	0.1792	3	0.0026	21	0.0185	0	0.0000	0	0.0000	1	0.0009	0	0.0000	1	0.0009	0	0.0000	0	0.0000	0	0.0000	1	0.0009	0	0.0000	2	0.0018	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	17	0.0150	0	0.0000	3	0.0026	8	0.0071	0	0.0000	0	0.0000	1	0.0009	0	0.0000	0	0.0000	11	0.0097	13	0.0115	17	0.0150	82	0.0724	0	0.0000	1	0.0009	0	0.0000	56	0.0494	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0009	0	0.0000	0	0.0000	21	0.0185	25	0.0221	227	0.2004	6	0.0053	46	0.0406	0	0.0000	0	0.0000	0	0.0000	0	0.0000	13	0.0115	7	0.0062	21	0.0185	14	0.0124	7	0.0062	0	0.0000	0	0.0000	829	0.7320
aristotle-gait	    7880	5	0.0635	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	3	0.0381	0	0.0000	1	0.0127	7	0.0888	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0127	0	0.0000	4	0.0508	0	0.0000	2	0.0254	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0127	0	0.0000	1	0.0127	0	0.0000	0	0.0000	0	0.0000	0	0.0000	25	0.3173
aristotle-generation	   26162	39	0.1491	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	4	0.0153	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	2	0.0076	0	0.0000	3	0.0115	19	0.0726	0	0.0000	0	0.0000	0	0.0000	8	0.0306	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	3	0.0115	1	0.0038	18	0.0688	0	0.0000	15	0.0573	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0038	0	0.0000	0	0.0000	113	0.4319
aristotle-heavens	   40377	19	0.0471	0	0.0000	3	0.0074	0	0.0000	0	0.0000	2	0.0050	0	0.0000	2	0.0050	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	2	0.0050	0	0.0000	3	0.0074	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0025	0	0.0000	7	0.0173	0	0.0000	13	0.0322	33	0.0817	0	0.0000	0	0.0000	0	0.0000	11	0.0272	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	15	0.0371	0	0.0000	22	0.0545	0	0.0000	20	0.0495	0	0.0000	0	0.0000	0	0.0000	1	0.0025	0	0.0000	0	0.0000	2	0.0050	0	0.0000	1	0.0025	0	0.0000	0	0.0000	157	0.3888
aristotle-poetics	   15183	43	0.2832	0	0.0000	0	0.0000	1	0.0066	1	0.0066	0	0.0000	0	0.0000	1	0.0066	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	3	0.0198	0	0.0000	1	0.0066	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0066	0	0.0000	5	0.0329	7	0.0461	0	0.0000	0	0.0000	0	0.0000	4	0.0263	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	10	0.0659	0	0.0000	4	0.0263	29	0.1910	0	0.0000	0	0.0000	0	0.0000	1	0.0066	0	0.0000	0	0.0000	0	0.0000	4	0.0263	2	0.0132	0	0.0000	117	0.7706
aristotle-politics	  102335	17	0.0166	0	0.0000	36	0.0352	0	0.0000	0	0.0000	1	0.0010	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0010	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	26	0.0254	0	0.0000	0	0.0000	1	0.0010	0	0.0000	0	0.0000	0	0.0000	6	0.0059	8	0.0078	8	0.0078	13	0.0127	17	0.0166	30	0.0293	0	0.0000	0	0.0000	1	0.0010	11	0.0107	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0010	0	0.0000	0	0.0000	15	0.0147	76	0.0743	111	0.1085	12	0.0117	39	0.0381	1	0.0010	3	0.0029	1	0.0010	8	0.0078	36	0.0352	12	0.0117	6	0.0059	9	0.0088	4	0.0039	0	0.0000	0	0.0000	510	0.4984
bowler-charles	   89928	86	0.0956	0	0.0000	3	0.0033	4	0.0044	0	0.0000	2	0.0022	0	0.0000	0	0.0000	2	0.0022	0	0.0000	0	0.0000	0	0.0000	5	0.0056	2	0.0022	0	0.0000	0	0.0000	0	0.0000	2	0.0022	0	0.0000	29	0.0322	0	0.0000	2	0.0022	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	2	0.0022	23	0.0256	11	0.0122	0	0.0000	63	0.0701	0	0.0000	0	0.0000	0	0.0000	3	0.0033	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	3	0.0033	0	0.0000	0	0.0000	45	0.0500	35	0.0389	0	0.0000	15	0.0167	8	0.0089	0	0.0000	0	0.0000	3	0.0033	4	0.0044	1	0.0011	35	0.0389	1	0.0011	10	0.0111	1	0.0011	2	0.0022	402	0.4470
